HLINES_TEAM_NAME,NHL_REF_TEAM_NAME
Anaheim,ANA
Arizona,ARI
Arizonas,ARI
Atlanta,ATL
Boston,BOS
Buffalo,BUF
Calgary,CGY
Carolina,CAR
Chicago,CHI
Colorado,COL
Columbus,CBJ
Dallas,DAL
Detroit,DET
Edmonton,EDM
Florida,FLA
LosAngeles,LAK
Minnesota,MIN
Montreal,MTL
Nashville,NSH
NewJersey,NJD
NYIslanders,NYI
NYRangers,NYR
Ottawa,OTT
Philadelphia,PHI
Phoenix,PHX
Pittsburgh,PIT
SanJose,SJS
St.Louis,STL
Tampa,TBL
TampaBay,TBL
Toronto,TOR
Vancouver,VAN
Vegas,VEG
Washington,WSH
Winnipeg,WPG
WinnipegJets,WPG
